File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
BU107_AmphBract_3.tiff,Full,6784,13870,5059.784811,2.741223,1065.535601,0.696022,0.267763,11.84135,4058.027171,9539.488526,12759.996497,1.687,4594.405562,339.021282,126.357967,2095.308503,1062.95698,899.006105,6596.025904,3339.659619,2824.310974,1424.048212,2801.312552,5314.127763
BU107_AmphBract_4.tiff,Full,5747,13444,4848.647116,2.772732,997.583098,0.662797,0.267763,9.551663,3988.379513,6129.868609,11029.918652,1.479,4430.075101,356.253835,62.31818,2074.940972,1024.767752,407.659958,6529.516102,3219.701021,1280.701529,1504.735478,2465.475111,2159.65802
BU107_AmphBract_5.tiff,Full,2151,3379,1555.589766,2.172167,258.687689,0.345047,0.189337,2.409864,1773.499751,293.369572,1735.73253,1.249,1552.082543,3.507224,0,544.081644,7.592994,0,1711.878435,23.854095,0,280.422418,12.947154,0
BU107_AmphBract_6.tiff,Full,1188,1421,865.336603,1.642136,218.169995,0.573301,0.431754,3.602379,805.908165,439.824722,1646.899931,0.466,841.314841,24.021762,0,463.341831,60.51577,0,1456.784032,190.115899,0,316.746106,123.078616,0
BU107_SorgNuta_1.tiff,Full,2334,2547,1285.546959,1.981258,251.534134,0.428484,0.189337,2.677627,1541.985024,540.829441,1871.639743,0.819,1242.002552,43.544407,0,496.89023,98.136703,0,1563.050627,308.589117,0,365.716064,175.113377,0
BU107_SorgNuta_2.tiff,Full,265,545,326.093562,1.671299,56.869958,0.289222,0.189337,1.526482,449.616233,36.236281,299.087259,0.159,326.093562,0,0,95.123144,0,0,299.087259,0,0,36.236281,0,0
BU107_SorgNuta_3.tiff,Full,179,227,172.866517,1.313152,35.429009,0.345484,0.267763,1.69348,236.621324,26.173483,188.593519,0.156,172.866517,0,0,59.993741,0,0,188.593519,0,0,26.173483,0,0
BU107_SorgNuta_4.tiff,Full,106,137,99.522701,1.37657,28.216304,0.445713,0.338696,1.628737,130.388529,27.308981,144.604854,0.214,99.522701,0,0,46.005806,0,0,144.604854,0,0,27.308981,0,0
BU107_SorgNuta_5.tiff,Full,3143,3807,1955.082779,1.947232,475.335918,0.566853,0.34912,2.896296,1792.067251,1058.537339,3771.766159,2.024,1903.050551,52.032228,0,1083.604699,116.024787,0,3407.26354,364.502619,0,854.019069,204.51827,0
BU107_SorgNuta_6.tiff,Full,11918,30086,5622.443199,5.351055,437.137617,0.18191,0.084674,2.957536,6853.425023,483.174029,3518.969599,1.339,5608.936876,13.506322,0,1079.415946,31.659785,0,3419.507451,99.462148,0,424.171571,59.002457,0
