File.Name,Success,site,species,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,total_root_length_mm,Branching.frequency.per.mm,Network.Area.mm2,average_diameter_mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,volume_mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
104_PoaPrat_17.tiff,N,104,Poa pratensis,Full,301,27,38.598972,0.6995,3.27117,0.101062,0.084674,0.254022,81.352988,0.354312,12.489234,0.689,38.598972,0,0,3.967431,0,0,12.489234,0,0,0.354312,0,0
104_PoaPrat_17.tiff,N,104,Poa pratensis,Full,671,145,146.472121,0.989949,13.717404,0.11731,0.084674,0.305296,285.184749,1.910378,55.118854,0.805,146.472121,0,0,17.520828,0,0,55.118854,0,0,1.910378,0,0
104_PoaPrat_2.tiff,N,104,Poa pratensis,Full,1111,1395,964.082142,1.446972,320.287849,1.041541,0.515052,7.765119,787.68346,2727.351644,3477.398706,0.684,805.356522,111.053889,47.671731,457.967737,355.778888,292.621647,1440.116188,1117.984501,919.298017,338.058955,961.497742,1427.794947
104_PoaPrat_2.tiff,N,104,Poa pratensis,Full,1335,1771,1367.772129,1.294806,482.804939,1.188926,0.598736,8.977441,1039.383807,4724.416992,5602.249635,0.724,1093.097819,199.133866,75.540444,671.47416,614.708246,495.569809,2110.593421,1932.293809,1559.362404,514.61568,1592.476624,2617.324688
104_PoaPrat_2.tiff,N,104,Poa pratensis,Full,2013,3374,1999.074434,1.687781,645.418821,1.073406,0.535525,10.065171,1378.994459,5967.994465,7469.382167,0.865,1650.318437,266.92436,81.831637,987.325128,839.493656,549.28059,3104.876011,2638.89029,1725.615866,755.454527,2217.825583,2994.714356
104_PoaPrat_3.tiff,N,104,Poa pratensis,Full,86,40,28.085598,1.424218,3.891348,0.173635,0.119747,0.723455,51.606277,1.11647,15.979756,0.192,28.085598,0,0,5.086514,0,0,15.979756,0,0,1.11647,0,0
104_PoaPrat_3.tiff,N,104,Poa pratensis,Full,388,218,111.336789,1.958023,15.543882,0.198191,0.169348,0.946684,183.117876,5.710597,72.030993,0.212,111.336789,0,0,22.928177,0,0,72.030993,0,0,5.710597,0,0
104_PoaPrat_3.tiff,N,104,Poa pratensis,Full,707,599,286.367265,2.09172,44.418004,0.254883,0.189337,1.188456,392.625893,24.881136,237.401679,0.226,286.367265,0,0,75.516004,0,0,237.401679,0,0,24.881136,0,0
104_PoaPrat_4.tiff,N,104,Poa pratensis,Full,94,58,37.279261,1.555825,7.305911,0.247472,0.189337,0.616436,61.520916,2.726437,30.408064,0.107,37.279261,0,0,9.671171,0,0,30.408064,0,0,2.726437,0,0
104_PoaPrat_4.tiff,N,104,Poa pratensis,Full,256,175,91.291999,1.916926,15.959724,0.269386,0.189337,1.071051,130.277292,8.837679,79.964601,0.162,91.291999,0,0,25.445507,0,0,79.964601,0,0,8.837679,0,0
104_PoaPrat_4.tiff,N,104,Poa pratensis,Full,424,352,172.402057,2.041739,30.324192,0.293724,0.189337,1.4617,229.68231,22.069256,166.085896,0.176,172.402057,0,0,52.779735,0,0,166.085896,0,0,22.069256,0,0
104_PoaPrat_5.tiff,N,104,Poa pratensis,Full,175,181,108.028485,1.675484,21.686511,0.351174,0.254022,1.507578,133.753484,16.782033,121.912935,0.36,108.028485,0,0,38.712217,0,0,121.912935,0,0,16.782033,0,0
104_PoaPrat_5.tiff,N,104,Poa pratensis,Full,375,207,138.771558,1.49166,32.303025,0.404181,0.239494,2.31115,187.361119,40.506511,188.253841,0.383,136.971096,1.800462,0,56.082739,3.816058,0,176.26534,11.988501,0,34.142592,6.36392,0
104_PoaPrat_5.tiff,N,104,Poa pratensis,Full,630,463,237.7364,1.947535,48.682176,0.354147,0.189337,2.46865,313.910564,59.089584,285.266881,0.676,235.001515,2.734885,0,84.664906,6.046604,0,266.270915,18.995966,0,48.547256,10.542329,0
104_PoaPrat_6.tiff,N,104,Poa pratensis,Full,79,15,18.061698,0.830487,2.018267,0.131945,0.084674,0.305296,35.636628,0.318198,7.678406,0.203,18.061698,0,0,2.444113,0,0,7.678406,0,0,0.318198,0,0
104_PoaPrat_6.tiff,N,104,Poa pratensis,Full,263,101,75.271201,1.341815,10.288501,0.160444,0.169348,0.378674,140.494949,1.993683,39.438059,0.319,75.271201,0,0,12.548454,0,0,39.438059,0,0,1.993683,0,0
104_PoaPrat_6.tiff,N,104,Poa pratensis,Full,449,251,156.764998,1.601123,23.014696,0.180425,0.169348,0.42337,278.268899,5.297145,91.778834,0.378,156.764998,0,0,29.188099,0,0,91.778834,0,0,5.297145,0,0
104_PoaPrat_7.tiff,N,104,Poa pratensis,Full,59,15,15.133911,0.991152,1.860534,0.14168,0.119747,0.305296,29.477431,0.314881,7.008715,0.066,15.133911,0,0,2.220804,0,0,7.008715,0,0,0.314881,0,0
104_PoaPrat_7.tiff,N,104,Poa pratensis,Full,152,70,55.839675,1.253589,8.840224,0.180339,0.169348,0.378674,104.41088,1.813975,32.977656,0.103,55.839675,0,0,10.484189,0,0,32.977656,0,0,1.813975,0,0
104_PoaPrat_7.tiff,N,104,Poa pratensis,Full,223,141,99.646614,1.415,17.382906,0.208397,0.189337,0.42337,174.927056,4.311634,67.620553,0.11,99.646614,0,0,21.524291,0,0,67.620553,0,0,4.311634,0,0
104_PoaPrat_8.tiff,N,104,Poa pratensis,Full,28,24,10.023899,2.394278,1.609595,0.28433,0.254022,0.780656,12.329397,0.943902,9.248594,0.026,10.023899,0,0,2.943919,0,0,9.248594,0,0,0.943902,0,0
104_PoaPrat_8.tiff,N,104,Poa pratensis,Full,102,44,23.049471,1.908938,3.21202,0.217658,0.169348,0.850963,35.213258,1.50541,16.681341,0.104,23.049471,0,0,5.309836,0,0,16.681341,0,0,1.50541,0,0
